State,Year,GEO id2,GEO display_label,County,State Abbr,Households,Poverty Households,ALICE Households,Above ALICE Households,ALICE Threshold - HH under 65,ALICE Threshold - HH 65 years and over,Poverty_Percentage,ALICE_Percentage,Above_ALICE_Percentage,Below_ALICE_Threshold_Total,Below_ALICE_Threshold_Percentage,Data_Source_File,Processing_Date
Oregon,2023,41001.0,"Baker County, Oregon",Baker,OR,7263,1200.0,1978.0,4085.0,52510.0,49479.0,16.52,27.23,56.24,3178.0,43.76,Oregon,2025-10-19
Oregon,2023,41003.0,"Benton County, Oregon",Benton,OR,38306,6706.0,10968.0,20632.0,68793.0,61788.0,17.51,28.63,53.86,17674.0,46.14,Oregon,2025-10-19
Oregon,2023,41005.0,"Clackamas County, Oregon",Clackamas,OR,167319,10845.0,54368.0,102106.0,81254.0,76800.0,6.48,32.49,61.02,65213.0,38.98,Oregon,2025-10-19
Oregon,2023,41007.0,"Clatsop County, Oregon",Clatsop,OR,18095,2090.0,5445.0,10560.0,55942.0,56636.0,11.55,30.09,58.36,7535.0,41.64,Oregon,2025-10-19
Oregon,2023,41009.0,"Columbia County, Oregon",Columbia,OR,20710,1842.0,6888.0,11980.0,74830.0,70272.0,8.89,33.26,57.85,8730.0,42.15,Oregon,2025-10-19
Oregon,2023,41011.0,"Coos County, Oregon",Coos,OR,28417,4291.0,8360.0,15766.0,53909.0,51763.0,15.1,29.42,55.48,12651.0,44.52,Oregon,2025-10-19
Oregon,2023,41013.0,"Crook County, Oregon",Crook,OR,10647,1001.0,3596.0,6050.0,73733.0,67644.0,9.4,33.77,56.82,4597.0,43.18,Oregon,2025-10-19
Oregon,2023,41015.0,"Curry County, Oregon",Curry,OR,11280,1285.0,3751.0,6244.0,54654.0,57068.0,11.39,33.25,55.35,5036.0,44.65,Oregon,2025-10-19
Oregon,2023,41017.0,"Deschutes County, Oregon",Deschutes,OR,88597,7983.0,20057.0,60557.0,62236.0,61812.0,9.01,22.64,68.35,28040.0,31.65,Oregon,2025-10-19
Oregon,2023,41019.0,"Douglas County, Oregon",Douglas,OR,47733,6676.0,16570.0,24487.0,60683.0,55296.0,13.99,34.71,51.3,23246.0,48.7,Oregon,2025-10-19
Oregon,2023,41021.0,"Gilliam County, Oregon",Gilliam,OR,869,113.0,271.0,485.0,61357.0,53034.0,13.0,31.19,55.81,384.0,44.19,Oregon,2025-10-19
Oregon,2023,41023.0,"Grant County, Oregon",Grant,OR,3352,488.0,888.0,1976.0,49517.0,49937.0,14.56,26.49,58.95,1376.0,41.05,Oregon,2025-10-19
Oregon,2023,41025.0,"Harney County, Oregon",Harney,OR,3141,454.0,1409.0,1278.0,61356.0,54309.0,14.45,44.86,40.69,1863.0,59.31,Oregon,2025-10-19
Oregon,2023,41027.0,"Hood River County, Oregon",Hood River,OR,9021,657.0,3260.0,5104.0,77148.0,62952.0,7.28,36.14,56.58,3917.0,43.42,Oregon,2025-10-19
Oregon,2023,41029.0,"Jackson County, Oregon",Jackson,OR,92225,11813.0,28046.0,52366.0,64035.0,58037.0,12.81,30.41,56.78,39859.0,43.22,Oregon,2025-10-19
Oregon,2023,41031.0,"Jefferson County, Oregon",Jefferson,OR,8659,1176.0,2396.0,5087.0,66572.0,54180.0,13.58,27.67,58.75,3572.0,41.25,Oregon,2025-10-19
Oregon,2023,41033.0,"Josephine County, Oregon",Josephine,OR,37241,5689.0,11652.0,19900.0,59915.0,54960.0,15.28,31.29,53.44,17341.0,46.56,Oregon,2025-10-19
Oregon,2023,41035.0,"Klamath County, Oregon",Klamath,OR,30395,6513.0,8470.0,15412.0,52111.0,49518.0,21.43,27.87,50.71,14983.0,49.29,Oregon,2025-10-19
Oregon,2023,41037.0,"Lake County, Oregon",Lake,OR,3422,630.0,897.0,1895.0,57072.0,49474.0,18.41,26.21,55.38,1527.0,44.62,Oregon,2025-10-19
Oregon,2023,41039.0,"Lane County, Oregon",Lane,OR,162001,24697.0,45497.0,91807.0,60496.0,58596.0,15.24,28.08,56.67,70194.0,43.33,Oregon,2025-10-19
Oregon,2023,41041.0,"Lincoln County, Oregon",Lincoln,OR,22829,3339.0,6990.0,12500.0,56638.0,55848.0,14.63,30.62,54.75,10329.0,45.25,Oregon,2025-10-19
Oregon,2023,41043.0,"Linn County, Oregon",Linn,OR,51636,6770.0,13918.0,30948.0,61614.0,56964.0,13.11,26.95,59.93,20688.0,40.07,Oregon,2025-10-19
Oregon,2023,41045.0,"Malheur County, Oregon",Malheur,OR,10039,1788.0,4061.0,4190.0,68019.0,49704.0,17.81,40.45,41.74,5849.0,58.26,Oregon,2025-10-19
Oregon,2023,41047.0,"Marion County, Oregon",Marion,OR,129087,17720.0,38199.0,73168.0,65584.0,57792.0,13.73,29.59,56.68,55919.0,43.32,Oregon,2025-10-19
Oregon,2023,41049.0,"Morrow County, Oregon",Morrow,OR,4322,584.0,1407.0,2331.0,61579.0,51132.0,13.51,32.55,53.93,1991.0,46.07,Oregon,2025-10-19
Oregon,2023,41051.0,"Multnomah County, Oregon",Multnomah,OR,354646,46095.0,119062.0,189489.0,78148.0,76644.0,13.0,33.57,53.43,165157.0,46.57,Oregon,2025-10-19
Oregon,2023,41053.0,"Polk County, Oregon",Polk,OR,33113,4812.0,9340.0,18961.0,70465.0,59712.0,14.53,28.21,57.26,14152.0,42.74,Oregon,2025-10-19
Oregon,2023,41055.0,"Sherman County, Oregon",Sherman,OR,784,131.0,234.0,419.0,58139.0,51303.0,16.71,29.85,53.44,365.0,46.56,Oregon,2025-10-19
Oregon,2023,41057.0,"Tillamook County, Oregon",Tillamook,OR,11817,1489.0,3684.0,6644.0,59165.0,55208.0,12.6,31.18,56.22,5173.0,43.78,Oregon,2025-10-19
Oregon,2023,41059.0,"Umatilla County, Oregon",Umatilla,OR,28194,3570.0,8377.0,16247.0,61263.0,52476.0,12.66,29.71,57.63,11947.0,42.37,Oregon,2025-10-19
Oregon,2023,41061.0,"Union County, Oregon",Union,OR,10856,1664.0,2855.0,6337.0,55053.0,50056.0,15.33,26.3,58.37,4519.0,41.63,Oregon,2025-10-19
Oregon,2023,41063.0,"Wallowa County, Oregon",Wallowa,OR,3356,297.0,981.0,2078.0,49118.0,53028.0,8.85,29.23,61.92,1278.0,38.08,Oregon,2025-10-19
Oregon,2023,41065.0,"Wasco County, Oregon",Wasco,OR,10411,1253.0,4194.0,4964.0,70274.0,61140.0,12.04,40.28,47.68,5447.0,52.32,Oregon,2025-10-19
Oregon,2023,41067.0,"Washington County, Oregon",Washington,OR,237507,17178.0,68109.0,152220.0,79727.0,78540.0,7.23,28.68,64.09,85287.0,35.91,Oregon,2025-10-19
