STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,State,State Abbr,County,GEO id2,GEO display_label,Households,Poverty_Percentage,ALICE_Percentage,Below_ALICE_Threshold_Percentage,Above_ALICE_Percentage
01,003,00161527,0500000US01003,01003,Baldwin,Baldwin County,AL,Alabama,06,4117725048,1132887203,,,,,,,,,,
01,069,00161560,0500000US01069,01069,Houston,Houston County,AL,Alabama,06,1501742235,4795415,,,,,,,,,,
01,005,00161528,0500000US01005,01005,Barbour,Barbour County,AL,Alabama,06,2292160151,50523213,,,,,,,,,,
01,119,00161585,0500000US01119,01119,Sumter,Sumter County,AL,Alabama,06,2340898915,24634880,,,,,,,,,,
05,091,00069166,0500000US05091,05091,Miller,Miller County,AR,Arkansas,06,1616257232,36848741,Arkansas,AR,Miller,5091.0,"Miller County, Arkansas",16311.0,22.71,31.35,54.06,45.94
05,133,00069182,0500000US05133,05133,Sevier,Sevier County,AR,Arkansas,06,1459636819,45919661,Arkansas,AR,Sevier,5133.0,"Sevier County, Arkansas",5697.0,20.33,32.67,52.99,47.01
05,093,00069899,0500000US05093,05093,Mississippi,Mississippi County,AR,Arkansas,06,2336409866,72224609,Arkansas,AR,Mississippi,5093.0,"Mississippi County, Arkansas",15381.0,21.47,26.1,47.57,52.43
06,037,00277283,0500000US06037,06037,Los Angeles,Los Angeles County,CA,California,06,10515988121,1785003256,California,CA,Los Angeles,6037.0,"Los Angeles County, California",3450470.0,13.94,37.17,51.11,48.89
06,087,00277308,0500000US06087,06087,Santa Cruz,Santa Cruz County,CA,California,06,1152818089,419720203,California,CA,Santa Cruz,6087.0,"Santa Cruz County, California",99069.0,11.52,40.73,52.25,47.75
06,097,01657246,0500000US06097,06097,Sonoma,Sonoma County,CA,California,06,4080103614,497291856,California,CA,Sonoma,6097.0,"Sonoma County, California",192765.0,8.81,32.47,41.28,58.72
06,013,01675903,0500000US06013,06013,Contra Costa,Contra Costa County,CA,California,06,1856752855,225364426,California,CA,Contra Costa,6013.0,"Contra Costa County, California",416172.0,7.76,31.73,39.49,60.51
06,003,01675840,0500000US06003,06003,Alpine,Alpine County,CA,California,06,1912292607,12557304,California,CA,Alpine,6003.0,"Alpine County, California",473.0,7.82,21.78,29.6,70.4
